                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3323,                 2.0655,                0.89786,                0.47014,                0.37784,                 0.2687,                0.12617,                 1.6155,                 1.8066,                0.86146,               0.000225,               0.000225,               0.000225
                      2,                 1.1801,                0.89121,                0.83919,                0.64319,                0.46074,                0.47968,                0.29219,                 1.0422,                 1.2526,                0.82584,             0.00045792,             0.00045792,             0.00045792
                      3,                 1.1727,                 0.7769,                 0.8382,                0.69956,                0.58165,                0.59345,                0.36974,                 1.0268,                0.85811,                0.82814,             0.00068614,             0.00068614,             0.00068614
                      4,                 1.2377,                0.72995,                0.83955,                0.74747,                0.58011,                0.63432,                0.36098,                 1.1355,                0.83651,                0.84257,             0.00090966,             0.00090966,             0.00090966
                      5,                 1.2018,                 0.7152,                0.84136,                0.71968,                0.57107,                 0.6645,                0.42329,                 1.0155,                0.82243,                0.83656,              0.0011285,              0.0011285,              0.0011285
                      6,                 1.2738,                0.70085,                0.84603,                0.61431,                0.63694,                0.59132,                0.30629,                 1.3392,                0.78231,                0.86074,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.2533,                0.72688,                0.84643,                0.60086,                0.61603,                0.48302,                0.27539,                 1.1244,                 1.7663,                0.83347,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.1734,                0.67121,                0.83771,                 0.7067,                0.68659,                0.69937,                  0.415,                 1.0228,                0.62994,                0.82617,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.0964,                0.62672,                 0.8287,                0.77106,                0.71782,                0.73531,                0.44332,                0.94596,                0.61167,                0.82102,               0.001151,               0.001151,               0.001151
                     10,                 1.0632,                0.60302,                 0.8174,                 0.8078,                0.71724,                 0.7703,                 0.4972,                0.96283,                0.54467,                0.81798,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.0336,                0.61491,                0.82477,                0.75435,                0.73338,                0.73089,                0.47188,                0.90234,                0.57824,                0.81636,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.0308,                0.59629,                0.81953,                 0.7754,                0.73368,                0.76185,                0.47603,                0.95024,                0.58922,                0.82029,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.0013,                0.55719,                0.81434,                0.84832,                0.71587,                0.70589,                0.45629,                0.88447,                0.54471,                0.81621,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.0036,                  0.554,                0.82035,                0.74094,                0.72385,                0.67313,                0.42606,                0.91883,                0.56505,                0.82191,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.1269,                0.60024,                0.82768,                0.77898,                0.70382,                 0.6894,                0.41264,                 1.0038,                0.57348,                0.82698,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.1678,                0.61762,                0.82431,                0.80954,                0.72525,                0.74657,                0.45301,                  1.033,                0.57511,                0.82204,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.0825,                0.58717,                0.82134,                0.86677,                0.72646,                0.76157,                0.49439,                 0.9201,                0.52163,                0.81233,               0.001052,               0.001052,               0.001052
                     18,                 1.0049,                0.55083,                0.81641,                0.94002,                0.69643,                0.77891,                0.51346,                0.86657,                0.50772,                0.81298,              0.0010396,              0.0010396,              0.0010396
                     19,                0.98777,                0.53055,                0.81476,                0.87134,                0.71413,                0.74856,                0.47903,                0.90747,                0.51041,                0.81892,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.0036,                0.54552,                0.81389,                0.83418,                0.72293,                0.75808,                0.49234,                0.89054,                0.48397,                0.81657,              0.0010149,              0.0010149,              0.0010149
                     21,                0.97341,                  0.518,                0.81237,                0.86801,                0.71535,                0.76417,                0.50257,                0.87361,                0.49424,                0.81267,              0.0010025,              0.0010025,              0.0010025
                     22,                0.92948,                0.50063,                0.81157,                0.88138,                   0.75,                0.77675,                0.50816,                0.82945,                0.46307,                0.81121,             0.00099013,             0.00099013,             0.00099013
                     23,                 0.9382,                0.49858,                0.80806,                 0.8281,                0.75899,                0.79638,                 0.5228,                0.88083,                 0.4807,                0.81251,             0.00097775,             0.00097775,             0.00097775
                     24,                0.99085,                0.51525,                0.81094,                0.85165,                0.73009,                 0.7933,                 0.5074,                0.86664,                0.48306,                0.81708,             0.00096537,             0.00096537,             0.00096537
                     25,                0.93752,                0.48718,                0.80953,                0.84351,                0.78336,                0.78327,                0.50754,                0.84021,                0.45842,                0.81095,               0.000953,               0.000953,               0.000953
                     26,                0.93928,                 0.4767,                0.80244,                0.87839,                0.72253,                0.77539,                0.52412,                0.83298,                0.47047,                0.80839,             0.00094062,             0.00094062,             0.00094062
                     27,                 0.9189,                0.47563,                0.80623,                0.86568,                0.75661,                 0.7836,                0.51958,                0.86052,                0.45372,                0.80741,             0.00092825,             0.00092825,             0.00092825
                     28,                0.97671,                0.48356,                 0.8088,                0.86594,                0.72669,                0.78285,                0.51582,                0.90421,                0.49415,                 0.8165,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.0362,                0.52018,                0.81792,                 0.8589,                0.75377,                0.78596,                0.52715,                0.87022,                0.47764,                0.80793,              0.0009035,              0.0009035,              0.0009035
                     30,                0.97898,                0.51196,                0.81407,                0.83284,                 0.7248,                0.76303,                0.51093,                0.89908,                0.48986,                0.81803,             0.00089112,             0.00089112,             0.00089112
                     31,                0.96495,                0.50006,                0.80906,                0.85044,                0.72941,                0.79219,                0.52802,                0.84792,                0.48052,                 0.8114,             0.00087875,             0.00087875,             0.00087875
                     32,                0.96077,                0.49691,                0.81236,                0.82814,                0.71493,                0.77984,                 0.5027,                0.85296,                0.49227,                0.81102,             0.00086637,             0.00086637,             0.00086637
                     33,                0.92781,                0.48053,                0.80683,                0.88578,                0.70989,                0.78282,                0.50981,                0.83617,                0.47275,                0.80966,               0.000854,               0.000854,               0.000854
                     34,                0.90319,                0.46821,                0.80715,                0.87985,                  0.753,                0.78653,                0.53061,                0.83756,                0.45637,                0.80635,             0.00084162,             0.00084162,             0.00084162
                     35,                0.93596,                0.48141,                0.81261,                0.82077,                0.75853,                0.80108,                 0.5336,                0.83743,                0.45527,                0.80719,             0.00082925,             0.00082925,             0.00082925
                     36,                0.92547,                0.46733,                  0.812,                0.80775,                0.75389,                0.77283,                0.51538,                0.88035,                0.48199,                0.81162,             0.00081688,             0.00081688,             0.00081688
                     37,                0.93101,                0.47164,                0.80544,                0.85163,                0.76516,                0.80045,                0.52336,                0.80119,                0.43556,                0.81054,              0.0008045,              0.0008045,              0.0008045
                     38,                0.90256,                  0.461,                0.80491,                0.89764,                0.73383,                0.79338,                0.53119,                0.87203,                0.45501,                0.81021,             0.00079213,             0.00079213,             0.00079213
                     39,                0.89536,                 0.4645,                0.80353,                0.87385,                0.75116,                0.79917,                0.50908,                0.84154,                0.45934,                0.80782,             0.00077975,             0.00077975,             0.00077975
                     40,                0.87644,                0.45184,                0.80411,                0.78025,                0.75145,                0.77686,                0.52966,                0.82569,                0.44076,                0.81056,             0.00076738,             0.00076738,             0.00076738
                     41,                0.92185,                 0.4691,                  0.809,                0.88606,                0.75596,                0.79221,                0.54279,                0.83829,                0.44524,                0.80858,               0.000755,               0.000755,               0.000755
                     42,                 0.8829,                 0.4484,                0.80307,                0.88461,                0.77048,                0.80054,                 0.5565,                0.78058,                0.42186,                 0.8045,             0.00074263,             0.00074263,             0.00074263
                     43,                0.87114,                0.45031,                0.80092,                0.86194,                0.75167,                0.80039,                0.54543,                0.76948,                0.41965,                0.80167,             0.00073025,             0.00073025,             0.00073025
                     44,                0.85184,                 0.4393,                0.80637,                0.85239,                0.75202,                0.79647,                0.54672,                0.79884,                0.43008,                0.80551,             0.00071788,             0.00071788,             0.00071788
                     45,                 0.8744,                0.45096,                 0.8047,                0.80829,                0.73186,                0.78019,                 0.5202,                0.81295,                 0.4539,                0.80604,              0.0007055,              0.0007055,              0.0007055
                     46,                0.88624,                0.45285,                0.79983,                0.83434,                0.78504,                0.78559,                0.54017,                0.79878,                0.43408,                0.80176,             0.00069313,             0.00069313,             0.00069313
                     47,                0.85192,                0.43655,                0.80236,                0.86909,                0.76442,                0.79696,                0.54129,                 0.8036,                0.43018,                 0.8052,             0.00068075,             0.00068075,             0.00068075
                     48,                0.89003,                0.45058,                0.80304,                 0.8823,                0.76922,                0.80268,                0.53908,                0.82284,                0.44938,                0.80708,             0.00066838,             0.00066838,             0.00066838
                     49,                0.91279,                0.46342,                0.80628,                0.90592,                0.76976,                 0.8014,                0.55258,                0.79517,                0.42999,                0.80371,               0.000656,               0.000656,               0.000656
